Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,Ad Topic Line,City,Gender,Country,Timestamp,Clicked on Ad,id,agegroup,weekday_name,month_name,hour
62.26,32.0,69481.85,172.83,Decentralized real-time circuit,Lisafort,1,Svalbard & Jan Mayen Islands,2016-06-09 21:43:05,0,0,31-40,Thursday,June,21
41.73,31.0,61840.26,207.17,Optional full-range projection,West Angelabury,1,Singapore,2016-01-16 17:56:05,0,1,31-40,Saturday,January,17
44.4,30.0,57877.15,172.83,Total 5thgeneration standardization,Reyesfurt,0,Guadeloupe,2016-06-29 10:50:45,0,2,21-30,Wednesday,June,10
59.88,28.0,56180.93,207.17,Balanced empowering success,New Michael,0,Zambia,2016-06-21 14:32:32,0,3,21-30,Tuesday,June,14
49.21,30.0,54324.73,201.58,Total 5thgeneration standardization,West Richard,0,Qatar,2016-07-21 10:54:35,1,4,21-30,Thursday,July,10
51.3,26.0,51463.17,131.68,Focused multi-state workforce,Port Maria,0,Cameroon,2016-05-15 13:18:34,0,5,21-30,Sunday,May,13
66.08,43.0,73538.09,136.4,Optimized upward-trending productivity,Port Jeffrey,1,Turkey,2016-04-03 21:13:46,1,6,41-50,Sunday,April,21
36.08,26.0,74903.41,228.78,Programmable uniform website,East Kevinbury,1,French Guiana,2016-03-11 06:49:10,0,7,21-30,Friday,March,6
46.14,33.0,43974.49,196.77,Customizable tangible hierarchy,Lake Annashire,1,Vanuatu,2016-03-24 06:36:52,0,8,31-40,Thursday,March,6
51.65,51.0,74535.94,188.56,Function-based incremental standardization,Edwardmouth,0,Cameroon,2016-01-31 05:12:44,0,9,51-60,Sunday,January,5
47.64,29.0,53431.35,200.71,Digitized content-based circuit,East Carlos,0,Burundi,2016-03-09 00:41:46,0,10,21-30,Wednesday,March,0
65.07,34.0,34191.23,187.09,Team-oriented transitional methodology,Port Robin,1,Equatorial Guinea,2016-04-05 18:02:49,1,11,31-40,Tuesday,April,18
55.6,24.0,52252.91,167.22,Configurable disintermediate throughput,North Daniel,0,Guinea,2016-06-11 06:47:55,1,12,21-30,Saturday,June,6
62.26,25.0,50671.6,138.71,Intuitive radical forecast,Nelsonfurt,1,Hong Kong,2016-03-18 13:00:12,0,13,21-30,Friday,March,13
78.84,27.0,69646.35,239.32,Front-line bandwidth-monitored capacity,Johnstad,0,Spain,2016-05-21 01:36:16,0,14,21-30,Saturday,May,1
56.39,40.0,40468.53,140.46,Inverse zero-defect capability,North Randy,0,Uganda,2016-01-03 16:01:40,1,15,31-40,Sunday,January,16
54.43,39.0,56180.93,124.44,Intuitive exuding service-desk,Vanessaview,0,Saint Pierre and Miquelon,2016-01-03 07:13:53,0,16,31-40,Sunday,January,7
60.23,43.0,31092.93,234.26,Optimized upward-trending productivity,Yangside,1,Northern Mariana Islands,2016-04-03 21:13:46,1,17,41-50,Sunday,April,21
41.73,31.0,61840.26,207.17,User-friendly client-server instruction set,New Michael,1,Singapore,2016-06-21 14:32:32,0,18,31-40,Tuesday,June,14
89.05,38.0,57868.44,170.13,Synergized clear-thinking protocol,Stewartbury,1,Western Sahara,2016-01-15 19:40:47,1,19,31-40,Friday,January,19
56.39,46.0,54286.1,193.29,Configurable tertiary capability,Richardsonshire,0,Mexico,2016-02-28 23:10:32,1,20,41-50,Sunday,February,23
39.96,45.0,59886.58,174.88,Secured 24hour policy,Harmonhaven,0,Rwanda,2016-03-05 12:03:41,1,21,41-50,Saturday,March,12
59.22,28.0,53058.91,217.37,Total directional approach,New Brandy,0,Liechtenstein,2016-05-30 18:08:19,0,22,21-30,Monday,May,18
47.74,33.0,68094.85,188.56,Extended context-sensitive monitoring,New Thomas,1,Vanuatu,2016-04-18 15:54:33,0,23,31-40,Monday,April,15
86.06,35.0,73889.99,158.29,De-engineered attitude-oriented projection,South Adamhaven,1,Bolivia,2016-03-18 13:00:12,0,24,31-40,Friday,March,13
55.6,30.0,58677.69,184.88,Proactive context-sensitive project,North Daniel,0,Guinea,2016-05-06 21:07:31,1,25,21-30,Friday,May,21
61.22,25.0,50506.44,194.95,Automated mobile model,West Aprilport,0,Saint Pierre and Miquelon,2016-01-03 07:13:53,0,26,21-30,Sunday,January,7
